,Generation,Father,Mother
0,0,7,6
1,1,12,8
2,2,12,11
3,3,15,12
4,4,15,13
5,5,15,13
6,6,15,10
7,7,15,10
8,8,15,13
9,9,15,13
10,10,16,15
11,11,16,13
12,12,16,13
13,13,18,16
14,14,18,16
15,15,18,18
16,16,18,13
17,17,18,18
18,18,18,13
19,19,18,18
20,20,18,16
21,21,18,17
22,22,18,16
23,23,18,18
24,24,18,16
25,25,18,12
26,26,18,13
27,27,18,17
28,28,18,15
29,29,18,16
30,30,18,16
31,31,18,16
32,32,18,16
33,33,18,13
34,34,18,13
35,35,18,16
36,36,18,13
37,37,18,13
38,38,18,15
39,39,18,12
40,40,18,16
41,41,18,16
42,42,18,16
43,43,18,16
44,44,18,16
45,45,18,18
46,46,18,15
47,47,18,15
48,48,18,17
49,49,18,17
50,50,18,16
51,51,18,15
52,52,18,15
53,53,18,13
54,54,18,16
55,55,18,18
56,56,18,16
57,57,18,8
58,58,18,12
59,59,18,9
60,60,18,14
61,61,18,17
62,62,18,17
63,63,18,18
64,64,18,13
65,65,18,11
66,66,18,16
67,67,18,13
68,68,18,16
69,69,18,15
70,70,18,16
71,71,18,15
72,72,18,15
73,73,18,16
74,74,18,18
75,75,18,18
76,76,18,10
77,77,18,16
78,78,18,15
79,79,18,17
80,80,18,16
81,81,18,13
82,82,18,13
83,83,18,13
84,84,18,16
85,85,18,14
86,86,18,14
87,87,18,16
88,88,18,18
89,89,18,16
90,90,18,16
91,91,18,10
92,92,18,13
93,93,18,16
94,94,18,13
95,95,18,14
96,96,18,13
97,97,18,13
98,98,18,13
99,99,21,18
100,100,21,16
101,101,21,16
102,102,21,16
103,103,21,16
104,104,21,15
105,105,21,16
106,106,21,18
107,107,21,15
108,108,21,16
109,109,21,16
110,110,21,15
111,111,21,17
112,112,21,18
113,113,21,13
114,114,21,16
115,115,21,16
116,116,21,16
117,117,21,14
118,118,21,18
119,119,21,15
120,120,21,15
121,121,21,16
122,122,21,16
123,123,21,13
124,124,21,15
125,125,21,16
126,126,21,13
127,127,21,16
128,128,21,15
129,129,21,17
130,130,21,13
131,131,21,16
132,132,21,15
133,133,21,16
134,134,21,18
135,135,21,19
136,136,21,15
137,137,21,17
138,138,21,16
139,139,21,16
140,140,21,16
141,141,21,17
142,142,21,17
143,143,21,16
144,144,21,16
145,145,21,21
146,146,21,16
147,147,21,16
