,Generation,Father,Mother
0,0,6,4
1,1,9,7
2,2,10,9
3,3,11,10
4,4,11,10
5,5,13,12
6,6,15,13
7,7,15,9
8,8,15,12
9,9,15,12
10,10,15,12
11,11,15,12
12,12,15,15
13,13,15,15
14,14,15,8
15,15,15,9
16,16,15,9
17,17,15,15
18,18,15,11
19,19,15,8
20,20,15,12
21,21,15,9
22,22,15,7
23,23,15,13
24,24,15,15
25,25,15,15
26,26,15,15
27,27,15,15
28,28,15,14
29,29,15,12
30,30,15,7
31,31,15,8
32,32,15,11
33,33,15,8
34,34,15,15
35,35,15,15
36,36,15,13
37,37,15,8
38,38,15,12
39,39,15,9
40,40,15,8
41,41,15,7
42,42,15,15
43,43,17,15
44,44,17,15
45,45,17,15
46,46,17,10
47,47,17,11
48,48,17,17
49,49,17,15
