,Generation,Father,Mother
0,0,15,11
1,1,15,11
2,2,15,15
3,3,15,11
4,4,15,9
5,5,16,15
6,6,16,13
7,7,16,12
8,8,16,13
9,9,16,10
10,10,16,12
11,11,16,16
12,12,16,13
13,13,16,13
14,14,16,12
15,15,16,13
16,16,16,13
17,17,16,13
18,18,16,13
19,19,16,15
20,20,16,16
21,21,16,16
22,22,16,12
23,23,16,16
24,24,16,15
25,25,16,16
26,26,16,15
27,27,16,13
28,28,16,13
29,29,16,13
30,30,16,13
31,31,16,15
32,32,16,13
33,33,16,10
34,34,16,13
35,35,16,10
36,36,16,12
37,37,16,11
38,38,16,15
39,39,16,12
40,40,16,12
41,41,16,16
42,42,16,13
43,43,16,13
44,44,16,10
45,45,16,16
46,46,16,14
47,47,16,10
48,48,16,8
49,49,16,10
