,Generation,Father,Mother
0,0,9,8
1,1,11,9
2,2,11,11
3,3,11,11
4,4,11,11
5,5,11,11
6,6,11,11
7,7,11,11
8,8,11,11
9,9,11,11
10,10,14,11
11,11,16,14
12,12,16,13
13,13,16,13
14,14,16,12
15,15,16,15
16,16,16,15
17,17,16,16
18,18,16,16
19,19,16,16
20,20,16,16
21,21,16,16
22,22,16,13
23,23,16,16
24,24,16,15
25,25,16,16
26,26,16,12
27,27,16,16
28,28,16,15
29,29,16,15
30,30,16,16
31,31,16,11
32,32,16,11
33,33,16,16
34,34,16,16
35,35,16,16
36,36,16,15
37,37,16,16
38,38,16,16
39,39,16,16
40,40,16,16
41,41,16,16
