,Generation,Father,Mother
0,0,8,8
1,1,13,8
2,2,13,9
3,3,13,8
4,4,13,12
5,5,13,10
6,6,13,10
7,7,13,13
8,8,13,13
9,9,13,13
10,10,13,13
11,11,13,11
12,12,13,11
13,13,15,13
14,14,15,7
15,15,15,11
16,16,15,9
17,17,15,11
18,18,15,15
19,19,15,12
20,20,16,15
21,21,16,9
22,22,16,13
23,23,16,12
24,24,16,12
25,25,16,11
26,26,16,10
27,27,16,11
28,28,16,12
29,29,16,13
30,30,16,14
31,31,16,15
32,32,16,9
33,33,16,11
34,34,16,12
35,35,16,8
36,36,16,10
37,37,16,12
38,38,16,11
39,39,16,11
40,40,16,11
41,41,16,11
42,42,16,9
43,43,16,9
44,44,16,8
45,45,16,13
46,46,16,12
47,47,16,13
48,48,16,10
49,49,16,11
50,50,16,10
51,51,16,13
52,52,16,12
53,53,16,16
54,54,16,11
55,55,16,15
56,56,16,15
57,57,16,11
58,58,16,13
59,59,16,13
60,60,16,10
61,61,16,11
62,62,16,11
63,63,16,12
64,64,16,12
65,65,16,10
66,66,16,15
67,67,16,11
68,68,16,9
69,69,16,8
70,70,16,12
71,71,16,11
72,72,16,10
73,73,16,12
74,74,16,10
75,75,16,13
76,76,16,9
77,77,16,10
78,78,16,9
79,79,16,10
80,80,16,11
81,81,16,11
82,82,16,8
83,83,16,12
84,84,16,10
85,85,16,11
86,86,16,10
87,87,16,8
88,88,16,8
89,89,16,9
90,90,16,11
91,91,16,11
92,92,16,11
93,93,16,16
94,94,16,11
95,95,16,11
96,96,16,8
97,97,16,9
98,98,16,8
99,99,16,12
