,Generation,Father,Mother
0,0,16,11
1,1,16,16
2,2,16,16
3,3,16,16
4,4,16,15
5,5,16,12
6,6,16,16
7,7,16,9
8,8,16,16
9,9,16,12
10,10,16,16
11,11,16,15
12,12,16,11
13,13,16,10
14,14,16,16
15,15,16,16
16,16,16,16
17,17,16,13
18,18,16,16
19,19,17,16
20,20,17,16
21,21,17,11
22,22,17,15
23,23,17,16
24,24,17,16
25,25,17,16
26,26,17,16
27,27,17,10
28,28,17,8
29,29,17,17
30,30,17,13
31,31,17,16
32,32,17,16
33,33,17,15
34,34,17,10
35,35,17,16
36,36,17,16
37,37,17,15
38,38,17,13
39,39,17,16
40,40,17,16
41,41,17,13
42,42,17,16
43,43,17,16
44,44,17,12
45,45,17,13
46,46,17,16
47,47,17,16
48,48,17,14
49,49,17,9
