,Generation,Father,Mother
0,0,10,9
1,1,10,10
2,2,10,10
3,3,11,10
4,4,11,10
5,5,15,11
6,6,15,14
7,7,15,11
8,8,15,12
9,9,15,12
10,10,15,10
11,11,15,12
12,12,15,10
13,13,15,15
14,14,15,10
15,15,15,15
16,16,15,15
17,17,15,15
18,18,15,10
19,19,15,11
20,20,15,15
21,21,15,12
22,22,15,11
23,23,16,15
24,24,16,12
25,25,16,15
26,26,16,12
27,27,16,12
28,28,16,16
29,29,16,12
30,30,16,12
31,31,16,16
32,32,16,15
33,33,16,12
34,34,16,15
35,35,16,12
36,36,16,14
37,37,16,15
38,38,16,13
39,39,16,16
40,40,16,12
41,41,16,13
42,42,16,16
43,43,16,16
44,44,16,12
45,45,16,16
46,46,16,16
47,47,16,13
48,48,16,15
49,49,16,16
