,Generation,Father,Mother
0,0,13,13
1,1,13,13
2,2,13,13
3,3,14,13
4,4,14,13
5,5,14,12
6,6,14,9
7,7,14,7
8,8,14,13
9,9,15,14
10,10,15,15
11,11,15,15
12,12,15,12
13,13,16,15
14,14,16,11
15,15,16,15
16,16,16,13
17,17,16,16
18,18,16,16
19,19,16,13
20,20,16,13
21,21,16,13
22,22,16,12
23,23,16,11
24,24,16,12
25,25,16,11
26,26,16,12
27,27,16,14
28,28,16,16
29,29,16,11
30,30,16,16
31,31,16,16
32,32,16,15
33,33,16,11
34,34,16,13
35,35,16,16
36,36,16,9
37,37,16,13
38,38,16,11
39,39,16,15
40,40,16,16
41,41,16,12
42,42,16,11
43,43,16,15
