,Generation,Father,Mother
0,0,10,10
1,1,10,10
2,2,11,10
3,3,11,11
4,4,11,10
5,5,11,11
6,6,12,11
7,7,12,12
8,8,12,12
9,9,12,11
10,10,12,11
11,11,12,12
12,12,12,12
13,13,12,12
14,14,12,11
15,15,12,12
16,16,12,11
17,17,12,12
18,18,12,12
19,19,12,12
20,20,12,10
21,21,12,11
22,22,15,12
23,23,15,12
24,24,15,13
25,25,15,15
26,26,15,14
27,27,15,9
28,28,15,15
29,29,15,11
30,30,15,10
31,31,15,15
32,32,15,13
33,33,15,11
34,34,15,11
35,35,15,12
36,36,16,15
37,37,16,12
38,38,16,11
39,39,16,11
40,40,16,13
41,41,16,13
42,42,16,13
43,43,16,11
44,44,16,11
45,45,16,11
46,46,16,10
47,47,16,10
48,48,16,12
49,49,16,11
50,50,16,11
51,51,16,11
52,52,16,12
53,53,16,11
54,54,16,11
55,55,16,11
56,56,16,12
57,57,16,12
58,58,16,12
59,59,16,11
60,60,16,10
61,61,16,11
62,62,16,16
63,63,16,12
64,64,16,11
65,65,16,15
66,66,16,15
67,67,16,12
68,68,16,11
69,69,16,16
70,70,16,12
71,71,16,16
72,72,16,16
73,73,16,12
74,74,16,10
75,75,16,9
76,76,16,10
77,77,16,11
78,78,16,14
79,79,16,12
80,80,16,13
81,81,16,13
82,82,16,11
83,83,16,12
84,84,16,13
85,85,16,12
86,86,16,11
