,Generation,Father,Mother
0,0,12,11
1,1,15,13
2,2,15,15
3,3,15,15
4,4,15,15
5,5,15,13
6,6,16,15
7,7,16,16
8,8,16,16
9,9,16,16
10,10,16,16
11,11,16,16
12,12,16,16
13,13,16,16
14,14,16,16
15,15,17,16
16,16,18,17
17,17,18,18
18,18,18,16
19,19,18,16
20,20,18,16
21,21,18,16
22,22,18,16
23,23,18,18
24,24,18,17
25,25,18,16
26,26,18,15
27,27,18,18
28,28,18,18
29,29,18,16
30,30,18,16
31,31,18,18
32,32,18,18
33,33,18,16
34,34,18,14
35,35,18,16
36,36,18,17
37,37,18,18
38,38,18,15
39,39,18,16
40,40,18,18
41,41,18,17
42,42,18,16
43,43,18,13
44,44,18,13
45,45,18,13
46,46,18,18
47,47,18,18
48,48,18,16
49,49,18,16
50,50,19,18
51,51,19,16
52,52,19,16
53,53,19,16
54,54,19,16
55,55,19,18
56,56,19,16
57,57,19,17
58,58,19,18
59,59,19,18
60,60,19,16
61,61,19,16
62,62,19,16
63,63,19,15
64,64,19,17
65,65,19,17
66,66,19,18
67,67,19,16
68,68,19,16
69,69,19,16
70,70,19,16
71,71,19,16
72,72,19,18
73,73,19,19
74,74,19,15
75,75,19,12
76,76,19,13
77,77,19,16
78,78,19,14
79,79,19,15
80,80,19,15
81,81,19,16
82,82,19,14
83,83,19,15
84,84,19,15
85,85,19,17
86,86,19,17
87,87,19,16
88,88,19,12
89,89,19,16
90,90,19,16
91,91,19,16
92,92,19,15
93,93,19,13
94,94,19,16
95,95,19,13
96,96,19,15
97,97,19,15
98,98,19,12
99,99,19,11
100,100,19,15
