,Generation,Father,Mother
0,0,13,12
1,1,16,15
2,2,16,14
3,3,16,13
4,4,17,16
5,5,17,16
6,6,17,15
7,7,17,15
8,8,17,12
9,9,17,13
10,10,17,15
11,11,17,16
12,12,17,17
13,13,17,15
14,14,17,15
15,15,17,10
16,16,17,14
17,17,17,13
18,18,17,13
19,19,17,11
20,20,17,13
21,21,17,11
22,22,17,15
23,23,17,15
24,24,17,17
25,25,17,17
26,26,17,16
27,27,17,10
28,28,17,11
29,29,17,15
30,30,17,13
31,31,17,14
32,32,17,15
33,33,17,12
34,34,17,15
35,35,17,15
36,36,17,15
37,37,17,9
38,38,17,16
39,39,17,17
40,40,17,15
41,41,17,15
42,42,17,13
43,43,17,14
44,44,17,12
45,45,17,15
46,46,18,17
47,47,18,16
48,48,18,16
49,49,18,15
