,Generation,Father,Mother
0,0,13,13
1,1,13,11
2,2,13,13
3,3,16,13
4,4,16,14
5,5,16,8
6,6,16,15
7,7,16,16
8,8,16,16
9,9,16,16
10,10,16,16
11,11,16,13
12,12,16,16
13,13,16,15
14,14,17,16
15,15,17,16
16,16,17,17
17,17,17,17
18,18,17,16
19,19,17,17
20,20,17,15
21,21,17,17
22,22,17,16
23,23,17,16
24,24,17,17
25,25,17,17
26,26,17,16
27,27,17,16
28,28,18,17
29,29,18,12
30,30,18,13
31,31,18,15
32,32,18,14
33,33,18,16
34,34,18,16
35,35,18,16
36,36,18,16
37,37,18,12
38,38,18,18
39,39,18,16
40,40,18,15
41,41,18,12
42,42,18,15
43,43,18,13
44,44,18,14
45,45,18,12
46,46,18,11
47,47,18,10
48,48,18,16
49,49,18,17
