,Generation,Father,Mother
0,0,8,6
1,1,8,8
2,2,8,7
3,3,8,8
4,4,8,8
5,5,12,8
6,6,12,5
7,7,12,9
8,8,12,12
9,9,12,10
10,10,12,9
11,11,12,10
12,12,12,8
13,13,12,10
14,14,12,10
15,15,12,10
16,16,12,9
17,17,12,9
18,18,12,9
19,19,12,10
20,20,12,12
21,21,12,9
22,22,12,8
23,23,12,11
24,24,12,11
25,25,12,11
26,26,12,7
27,27,12,10
28,28,12,8
29,29,12,11
30,30,12,8
31,31,12,9
32,32,12,10
33,33,12,9
34,34,12,7
35,35,12,10
36,36,13,12
37,37,13,9
38,38,13,10
39,39,13,8
40,40,13,8
41,41,13,8
42,42,14,13
43,43,14,14
44,44,14,11
45,45,14,10
46,46,15,14
47,47,15,14
48,48,15,15
49,49,15,8
50,50,15,14
51,51,15,15
52,52,15,11
53,53,15,9
54,54,15,11
55,55,15,12
56,56,15,15
57,57,15,14
58,58,15,12
59,59,15,10
60,60,15,12
61,61,15,11
62,62,15,12
63,63,15,11
64,64,15,12
65,65,15,11
66,66,15,12
67,67,15,8
68,68,15,10
69,69,15,11
70,70,15,12
71,71,15,14
72,72,15,14
73,73,15,11
74,74,15,10
75,75,15,10
76,76,15,11
77,77,15,12
78,78,15,15
79,79,15,12
80,80,15,9
81,81,15,9
82,82,15,11
83,83,15,11
84,84,15,11
85,85,15,12
86,86,15,10
87,87,15,11
88,88,15,15
89,89,15,12
90,90,15,8
91,91,15,10
92,92,15,11
93,93,15,15
94,94,15,12
95,95,15,12
96,96,15,10
