,Generation,Father,Mother
0,0,8,7
1,1,8,8
2,2,9,8
3,3,9,7
4,4,10,9
5,5,11,10
6,6,11,11
7,7,11,10
8,8,11,8
9,9,11,11
10,10,11,10
11,11,11,9
12,12,12,11
13,13,13,12
14,14,13,12
15,15,13,12
16,16,13,11
17,17,13,11
18,18,13,12
19,19,13,13
20,20,16,13
21,21,16,13
22,22,16,12
23,23,16,12
24,24,16,13
25,25,16,10
26,26,16,15
27,27,16,12
28,28,16,7
29,29,16,8
30,30,16,10
31,31,16,13
32,32,16,10
33,33,16,10
34,34,16,10
35,35,16,13
36,36,16,15
37,37,16,13
38,38,16,9
39,39,16,12
40,40,16,8
41,41,16,10
42,42,16,10
43,43,16,11
44,44,16,11
45,45,16,10
46,46,16,10
47,47,16,10
48,48,16,11
49,49,16,13
50,50,16,13
51,51,16,16
52,52,16,14
53,53,16,12
54,54,16,15
55,55,16,12
56,56,16,11
57,57,16,13
58,58,16,12
59,59,16,13
60,60,16,16
61,61,16,13
62,62,16,12
63,63,16,15
64,64,16,10
65,65,16,12
66,66,16,15
67,67,16,10
68,68,16,11
69,69,16,16
70,70,16,10
71,71,16,8
72,72,16,10
73,73,16,13
74,74,16,11
75,75,16,11
76,76,16,11
77,77,16,11
78,78,16,8
79,79,16,16
80,80,16,8
81,81,16,11
82,82,16,12
83,83,16,11
84,84,16,12
85,85,16,8
86,86,16,9
87,87,16,11
88,88,16,12
89,89,16,9
90,90,16,10
91,91,16,11
92,92,16,10
93,93,16,12
94,94,16,11
95,95,16,8
96,96,16,11
97,97,16,10
98,98,16,13
99,99,16,13
100,100,16,10
101,101,16,10
102,102,16,13
103,103,16,13
104,104,16,13
105,105,16,8
106,106,16,11
107,107,16,8
108,108,16,11
109,109,16,8
110,110,16,11
111,111,16,11
112,112,16,11
113,113,16,11
114,114,16,13
115,115,16,12
116,116,16,13
117,117,16,15
118,118,16,13
119,119,16,10
120,120,16,12
121,121,16,10
122,122,16,12
123,123,16,12
124,124,16,12
125,125,16,12
126,126,16,16
127,127,16,13
128,128,16,11
129,129,16,15
130,130,16,11
131,131,16,8
132,132,16,11
133,133,16,10
134,134,16,12
135,135,16,11
136,136,16,13
137,137,16,8
138,138,16,12
139,139,16,12
140,140,16,10
141,141,16,11
142,142,16,11
143,143,16,9
144,144,16,12
145,145,16,9
146,146,16,10
147,147,16,10
148,148,16,9
149,149,16,11
150,150,16,10
151,151,16,8
152,152,16,10
153,153,16,16
154,154,16,15
155,155,16,12
156,156,16,12
157,157,16,11
158,158,16,12
159,159,16,13
160,160,16,15
161,161,16,13
162,162,16,15
163,163,16,13
164,164,16,15
165,165,16,14
166,166,16,12
167,167,16,10
168,168,16,13
169,169,16,13
170,170,16,13
