,Generation,Father,Mother
0,0,14,13
1,1,15,14
2,2,16,15
3,3,16,15
4,4,16,13
5,5,16,16
6,6,16,16
7,7,16,16
8,8,16,16
9,9,16,16
10,10,16,14
11,11,16,16
12,12,16,15
13,13,16,15
14,14,16,13
15,15,16,16
16,16,16,15
17,17,17,16
18,18,17,12
19,19,17,16
20,20,17,13
21,21,17,16
22,22,17,13
23,23,17,16
24,24,17,15
25,25,17,15
26,26,17,13
27,27,17,15
28,28,17,14
29,29,17,17
30,30,17,17
31,31,17,15
32,32,17,13
33,33,17,13
34,34,17,15
35,35,17,16
36,36,17,14
37,37,17,10
38,38,17,16
39,39,17,15
40,40,17,17
41,41,17,16
42,42,17,16
43,43,17,15
44,44,17,11
45,45,17,16
46,46,17,13
47,47,17,15
48,48,17,15
49,49,17,16
