,Generation,Father,Mother
0,0,7,7
1,1,10,7
2,2,10,7
3,3,10,7
4,4,10,8
5,5,10,10
6,6,10,8
7,7,11,10
8,8,11,8
9,9,11,10
10,10,11,9
11,11,11,10
12,12,11,11
13,13,11,8
14,14,13,13
15,15,13,10
16,16,13,8
17,17,13,11
18,18,13,13
19,19,13,13
20,20,13,11
21,21,13,9
22,22,13,13
23,23,13,13
24,24,13,11
25,25,13,10
26,26,14,13
27,27,14,13
28,28,14,12
29,29,15,14
30,30,15,11
31,31,15,12
32,32,16,15
33,33,16,16
34,34,16,12
35,35,16,15
36,36,16,15
37,37,16,11
38,38,16,11
39,39,16,11
40,40,16,11
41,41,16,10
42,42,16,11
43,43,16,13
44,44,16,12
45,45,16,12
46,46,16,11
47,47,16,11
48,48,16,12
49,49,16,11
50,50,16,9
51,51,16,11
52,52,16,16
53,53,16,15
54,54,16,12
55,55,16,16
56,56,16,12
57,57,16,10
58,58,16,11
59,59,16,16
60,60,16,15
61,61,16,12
62,62,16,16
63,63,16,12
64,64,16,16
65,65,16,15
66,66,16,12
67,67,16,13
68,68,16,11
69,69,16,10
70,70,16,11
71,71,16,12
72,72,16,16
73,73,16,10
74,74,16,12
75,75,16,12
76,76,16,12
77,77,16,13
78,78,16,15
79,79,16,16
80,80,16,11
81,81,16,11
82,82,16,15
