,Generation,Father,Mother
0,0,15,13
1,1,15,15
2,2,15,10
3,3,15,10
4,4,15,13
5,5,15,15
6,6,17,15
7,7,17,16
8,8,17,11
9,9,17,13
10,10,17,15
11,11,17,15
12,12,17,13
13,13,17,16
14,14,17,16
15,15,17,14
16,16,17,13
17,17,17,13
18,18,17,12
19,19,17,16
20,20,17,13
21,21,17,12
22,22,17,11
23,23,17,10
24,24,17,15
25,25,17,12
26,26,17,16
27,27,17,16
28,28,17,16
29,29,17,16
30,30,19,17
31,31,19,15
32,32,19,11
33,33,19,16
34,34,19,10
35,35,19,13
36,36,19,14
37,37,19,10
38,38,19,11
39,39,19,15
40,40,19,19
41,41,19,18
42,42,19,11
43,43,19,13
44,44,19,16
45,45,19,15
46,46,19,15
47,47,19,13
48,48,19,15
49,49,19,18
50,50,19,13
51,51,19,12
52,52,19,18
53,53,19,16
54,54,19,16
55,55,19,16
56,56,19,14
57,57,19,13
58,58,19,15
59,59,19,12
60,60,19,17
61,61,19,14
62,62,19,19
63,63,19,12
64,64,19,8
65,65,19,16
66,66,19,16
67,67,19,16
68,68,19,16
69,69,19,15
70,70,19,15
71,71,19,12
72,72,19,17
73,73,19,16
74,74,19,14
75,75,19,14
76,76,19,17
77,77,19,16
78,78,19,8
79,79,19,9
80,80,19,15
