,Generation,Father,Mother
0,0,8,7
1,1,8,8
2,2,8,8
3,3,8,8
4,4,9,8
5,5,9,9
6,6,10,9
7,7,10,9
8,8,13,11
9,9,13,13
10,10,13,13
11,11,13,13
12,12,13,11
13,13,13,9
14,14,13,13
15,15,13,13
16,16,13,11
17,17,13,12
18,18,13,11
19,19,13,13
20,20,13,11
21,21,14,13
22,22,14,14
23,23,14,11
24,24,14,11
25,25,15,14
26,26,15,15
27,27,15,15
28,28,15,11
29,29,15,15
30,30,15,14
31,31,15,12
32,32,15,12
33,33,15,12
34,34,15,13
35,35,15,12
36,36,15,15
37,37,17,15
38,38,17,17
39,39,17,17
40,40,17,17
41,41,17,14
42,42,17,16
43,43,17,15
44,44,18,17
45,45,18,15
46,46,18,13
47,47,18,11
48,48,18,16
49,49,18,16
50,50,18,16
51,51,18,16
52,52,18,16
53,53,18,16
54,54,18,16
55,55,18,11
56,56,18,16
57,57,18,16
58,58,18,15
59,59,18,13
60,60,18,8
61,61,18,13
62,62,18,13
63,63,18,11
64,64,18,15
65,65,18,15
66,66,18,13
67,67,18,18
68,68,18,16
69,69,18,17
70,70,18,18
71,71,18,18
72,72,18,16
73,73,18,16
74,74,18,16
