,Generation,Father,Mother
0,0,12,12
1,1,12,12
2,2,12,12
3,3,15,12
4,4,15,13
5,5,15,15
6,6,15,12
7,7,15,15
8,8,15,15
9,9,15,15
10,10,15,15
11,11,15,15
12,12,15,11
13,13,15,11
14,14,15,12
15,15,15,12
16,16,15,11
17,17,15,13
18,18,15,11
19,19,15,12
20,20,15,15
21,21,15,15
22,22,15,13
23,23,15,12
24,24,15,13
25,25,15,15
26,26,15,12
27,27,15,12
28,28,15,7
29,29,15,9
30,30,15,13
31,31,15,14
32,32,15,15
33,33,15,15
34,34,15,15
35,35,15,10
36,36,15,10
37,37,15,15
38,38,15,11
39,39,15,12
40,40,15,12
41,41,15,10
42,42,15,13
43,43,15,14
44,44,15,15
45,45,15,15
46,46,16,15
47,47,16,15
48,48,16,16
49,49,16,13
50,50,16,13
51,51,16,14
52,52,16,9
53,53,16,13
54,54,16,16
55,55,16,12
56,56,16,11
57,57,16,12
58,58,16,13
59,59,16,16
60,60,16,13
61,61,16,16
62,62,16,12
63,63,16,13
64,64,16,12
65,65,16,16
66,66,16,11
67,67,16,12
68,68,16,11
69,69,16,11
70,70,16,15
71,71,16,8
72,72,16,11
73,73,16,11
74,74,16,16
75,75,16,10
76,76,16,15
77,77,16,16
78,78,16,15
79,79,16,15
80,80,16,13
81,81,16,15
82,82,16,11
83,83,16,9
84,84,16,13
85,85,16,8
86,86,16,15
87,87,16,11
88,88,16,16
89,89,16,16
90,90,16,11
91,91,16,13
92,92,16,15
93,93,16,11
94,94,16,12
95,95,16,12
96,96,16,16
97,97,16,16
98,98,16,15
99,99,16,16
100,100,16,13
101,101,16,11
102,102,16,15
103,103,16,15
104,104,16,13
105,105,16,12
106,106,16,13
107,107,16,16
108,108,16,11
109,109,16,10
110,110,16,12
111,111,16,12
112,112,16,8
113,113,16,14
114,114,16,12
115,115,16,12
116,116,16,15
117,117,16,11
118,118,16,11
119,119,16,11
120,120,16,13
121,121,16,12
122,122,16,12
123,123,16,11
124,124,16,11
125,125,16,8
126,126,16,13
127,127,16,12
128,128,16,15
129,129,16,10
130,130,16,13
131,131,16,13
132,132,16,9
133,133,16,12
134,134,16,16
135,135,16,16
136,136,16,15
137,137,16,13
138,138,16,15
139,139,16,12
140,140,16,15
141,141,16,16
142,142,16,16
143,143,16,16
144,144,16,10
145,145,16,13
146,146,16,13
147,147,16,12
148,148,16,14
149,149,16,16
150,150,16,13
151,151,16,16
152,152,16,12
153,153,16,11
154,154,16,12
155,155,16,13
156,156,16,15
157,157,16,16
158,158,16,15
159,159,16,11
160,160,16,16
161,161,16,12
162,162,16,11
163,163,16,12
164,164,16,13
165,165,16,13
166,166,16,16
167,167,16,13
168,168,16,13
169,169,16,13
170,170,16,16
171,171,16,12
172,172,16,11
173,173,16,11
174,174,16,11
175,175,16,12
176,176,16,13
177,177,16,16
178,178,16,12
179,179,16,12
180,180,17,16
181,181,17,16
182,182,17,13
183,183,17,13
184,184,17,10
185,185,17,10
186,186,17,17
187,187,17,13
188,188,17,12
189,189,17,17
190,190,17,9
191,191,17,13
192,192,17,13
193,193,17,11
194,194,17,14
195,195,17,15
196,196,17,12
197,197,17,10
198,198,17,13
199,199,17,15
200,200,17,15
201,201,17,13
202,202,17,9
203,203,17,12
204,204,17,13
205,205,17,15
206,206,17,15
207,207,17,10
208,208,17,12
209,209,17,12
210,210,17,10
211,211,17,13
212,212,17,16
213,213,17,7
214,214,17,14
215,215,17,8
216,216,17,11
217,217,17,15
218,218,17,10
219,219,17,13
220,220,17,16
221,221,17,14
222,222,17,13
223,223,17,11
224,224,17,12
225,225,17,12
226,226,17,9
227,227,17,9
228,228,17,11
229,229,17,12
230,230,17,11
231,231,17,11
232,232,17,17
233,233,17,16
234,234,17,12
235,235,17,10
236,236,17,16
237,237,17,8
238,238,17,8
239,239,17,11
240,240,17,10
241,241,17,12
242,242,17,11
243,243,17,11
244,244,17,12
245,245,17,14
246,246,17,13
247,247,17,9
248,248,17,9
249,249,17,11
