,Generation,Father,Mother
0,0,9,8
1,1,11,9
2,2,12,11
3,3,12,11
4,4,16,12
5,5,16,12
6,6,16,12
7,7,16,12
8,8,16,12
9,9,16,12
10,10,16,16
11,11,16,10
12,12,16,12
13,13,16,10
14,14,16,13
15,15,16,12
16,16,17,16
17,17,17,16
18,18,17,15
19,19,17,13
20,20,17,15
21,21,17,11
22,22,17,12
23,23,17,16
24,24,17,16
25,25,17,15
26,26,17,11
27,27,17,9
28,28,17,15
29,29,17,12
30,30,17,15
31,31,17,11
32,32,17,12
33,33,17,14
34,34,17,16
35,35,17,14
36,36,17,8
37,37,17,14
38,38,18,17
39,39,18,13
40,40,18,8
41,41,18,13
42,42,18,16
43,43,18,16
44,44,18,13
45,45,18,16
46,46,18,13
47,47,18,11
48,48,18,13
49,49,18,13
50,50,18,15
51,51,18,17
52,52,18,13
53,53,18,13
54,54,18,13
55,55,18,12
56,56,18,15
57,57,18,16
58,58,18,18
59,59,18,18
60,60,18,8
61,61,18,11
62,62,18,13
63,63,18,16
64,64,18,15
65,65,18,12
66,66,18,13
67,67,18,12
68,68,18,12
69,69,18,16
70,70,18,10
71,71,18,13
72,72,18,16
73,73,18,18
74,74,18,13
75,75,18,11
76,76,18,16
77,77,18,13
78,78,18,16
79,79,18,16
80,80,18,16
81,81,18,13
82,82,18,13
83,83,18,8
84,84,18,16
85,85,18,10
86,86,18,16
87,87,18,16
88,88,18,17
89,89,18,12
90,90,18,12
91,91,18,16
92,92,18,12
93,93,18,10
94,94,18,11
95,95,18,13
96,96,18,13
97,97,18,17
98,98,18,16
99,99,18,12
100,100,18,12
101,101,18,18
102,102,18,15
103,103,18,8
104,104,18,13
105,105,18,13
106,106,18,9
107,107,18,12
108,108,18,9
109,109,18,13
110,110,18,16
111,111,18,9
112,112,18,13
113,113,18,12
114,114,18,17
115,115,18,15
116,116,18,16
117,117,18,10
118,118,18,13
119,119,18,12
120,120,18,13
121,121,18,16
122,122,18,12
123,123,18,10
124,124,18,15
125,125,18,16
126,126,18,15
127,127,18,10
128,128,18,13
129,129,18,16
130,130,18,10
131,131,18,15
132,132,18,12
133,133,18,10
134,134,18,16
135,135,18,11
136,136,18,13
137,137,18,13
138,138,18,9
139,139,18,15
140,140,18,13
141,141,18,12
142,142,18,15
143,143,18,13
144,144,18,13
145,145,18,11
146,146,18,13
147,147,18,10
148,148,18,12
149,149,18,12
150,150,18,16
151,151,18,16
152,152,18,12
153,153,18,8
154,154,18,10
155,155,18,13
156,156,18,11
157,157,18,11
158,158,18,12
159,159,18,12
160,160,18,15
161,161,18,10
162,162,18,11
163,163,18,9
164,164,18,13
165,165,18,15
166,166,18,13
167,167,18,13
168,168,18,16
169,169,18,12
170,170,18,11
171,171,18,11
172,172,18,13
173,173,18,16
174,174,18,15
175,175,18,13
176,176,18,10
177,177,18,10
178,178,18,16
179,179,18,13
180,180,18,12
181,181,18,15
182,182,18,13
183,183,18,15
184,184,18,16
185,185,18,13
186,186,18,15
187,187,18,16
188,188,18,13
